time,DO,WT,pH,Tur,CHLa,Cond,COD,NH,TP,TN
2023/3/22,16.27 ,19.03 ,11.99 ,30.99 ,4.24 ,636.38 ,4.18 ,0.14 ,0.05 ,1.27 
2023/3/23,16.32 ,19.12 ,11.97 ,31.72 ,3.90 ,631.18 ,4.21 ,0.14 ,0.05 ,1.24 
2023/3/24,16.41 ,18.44 ,12.00 ,36.04 ,2.85 ,632.75 ,4.33 ,0.15 ,0.06 ,1.40 
2023/3/25,16.79 ,17.89 ,12.08 ,34.07 ,5.54 ,629.32 ,4.21 ,0.15 ,0.05 ,1.42 
2023/3/26,17.13 ,18.76 ,12.14 ,35.93 ,9.00 ,626.79 ,4.45 ,0.15 ,0.05 ,1.43 
2023/3/27,17.54 ,19.90 ,12.20 ,34.19 ,11.83 ,637.85 ,4.44 ,0.14 ,0.05 ,1.42 
2023/3/28,17.72 ,20.19 ,12.22 ,40.31 ,15.45 ,635.19 ,4.93 ,0.09 ,0.05 ,1.53 
2023/3/29,17.89 ,20.25 ,12.29 ,42.01 ,21.06 ,634.71 ,4.90 ,0.06 ,0.05 ,1.54 
2023/3/30,17.14 ,20.34 ,12.14 ,44.18 ,9.87 ,634.17 ,4.61 ,0.14 ,0.06 ,1.59 
2023/3/31,17.74 ,20.71 ,12.32 ,44.39 ,20.02 ,659.21 ,4.71 ,0.08 ,0.05 ,1.60 
2023/4/1,18.73 ,23.12 ,12.61 ,32.04 ,25.73 ,679.10 ,5.17 ,0.05 ,0.05 ,1.46 
2023/4/2,18.24 ,23.50 ,12.54 ,40.53 ,23.47 ,648.78 ,5.15 ,0.05 ,0.05 ,1.45 
2023/4/3,16.67 ,23.13 ,12.38 ,91.50 ,26.89 ,640.70 ,5.61 ,0.06 ,0.09 ,2.00 
2023/4/4,16.21 ,22.31 ,12.31 ,55.34 ,29.66 ,637.01 ,5.35 ,0.08 ,0.08 ,1.74 
2023/4/5,16.13 ,21.73 ,12.14 ,108.72 ,19.28 ,635.24 ,5.23 ,0.12 ,0.09 ,1.98 
2023/4/6,15.88 ,21.21 ,12.22 ,72.04 ,21.91 ,619.23 ,6.47 ,0.14 ,0.08 ,1.80 
2023/4/7,16.53 ,21.67 ,12.29 ,66.80 ,18.28 ,618.59 ,5.63 ,0.12 ,0.08 ,1.72 
2023/4/8,17.90 ,23.65 ,12.61 ,58.03 ,28.01 ,648.77 ,5.70 ,0.09 ,0.06 ,1.92 
2023/4/9,19.00 ,24.48 ,12.76 ,58.38 ,29.87 ,641.67 ,5.90 ,0.06 ,0.06 ,1.80 
2023/4/10,19.40 ,25.24 ,12.84 ,61.79 ,34.10 ,640.52 ,5.83 ,0.06 ,0.06 ,1.77 
2023/4/11,20.48 ,27.02 ,13.08 ,115.87 ,49.14 ,636.55 ,6.22 ,0.06 ,0.08 ,1.65 
2023/4/12,18.38 ,27.07 ,13.08 ,84.16 ,52.48 ,636.09 ,6.63 ,0.08 ,0.08 ,1.59 
2023/4/13,16.81 ,26.32 ,13.01 ,72.39 ,49.55 ,649.67 ,6.65 ,0.08 ,0.08 ,1.74 
2023/4/14,16.93 ,27.08 ,13.12 ,40.08 ,49.76 ,648.00 ,6.21 ,0.06 ,0.06 ,1.66 
2023/4/15,16.85 ,27.79 ,12.76 ,54.72 ,24.14 ,662.02 ,5.72 ,0.06 ,0.06 ,1.75 
2023/4/16,16.93 ,30.50 ,12.87 ,76.34 ,19.96 ,660.29 ,5.75 ,0.08 ,0.08 ,1.68 
2023/4/17,15.04 ,30.09 ,12.55 ,49.55 ,11.04 ,652.11 ,5.32 ,0.08 ,0.06 ,1.53 
2023/4/18,14.72 ,32.07 ,12.47 ,35.52 ,9.82 ,652.33 ,5.03 ,0.06 ,0.05 ,1.54 
2023/4/19,14.06 ,33.81 ,12.37 ,33.20 ,10.03 ,657.99 ,5.00 ,0.08 ,0.05 ,1.66 
2023/4/20,13.28 ,34.10 ,12.22 ,39.41 ,8.62 ,662.17 ,5.11 ,0.09 ,0.06 ,1.66 
2023/4/21,13.28 ,33.38 ,12.14 ,50.33 ,11.07 ,660.20 ,5.23 ,0.11 ,0.06 ,1.68 
2023/4/22,14.11 ,29.40 ,12.18 ,57.43 ,12.11 ,656.30 ,5.28 ,0.12 ,0.06 ,1.75 
2023/4/23,14.56 ,27.13 ,12.14 ,60.01 ,11.13 ,653.19 ,5.38 ,0.14 ,0.06 ,1.81 
2023/4/24,15.28 ,25.01 ,12.14 ,69.57 ,11.13 ,661.79 ,5.06 ,0.17 ,0.08 ,1.80 
2023/4/25,15.39 ,24.57 ,12.18 ,65.50 ,14.52 ,665.36 ,4.68 ,0.15 ,0.08 ,1.78 
2023/4/26,16.17 ,25.64 ,12.25 ,68.64 ,13.98 ,664.52 ,4.85 ,0.17 ,0.08 ,1.46 
2023/4/27,16.52 ,26.76 ,12.32 ,60.59 ,20.50 ,665.19 ,4.90 ,0.12 ,0.08 ,1.49 
2023/4/28,17.22 ,27.88 ,12.47 ,61.09 ,29.14 ,667.61 ,4.93 ,0.09 ,0.08 ,1.43 
2023/4/29,16.21 ,27.68 ,12.34 ,92.78 ,24.58 ,673.44 ,5.28 ,0.09 ,0.08 ,1.65 
2023/4/30,16.87 ,27.86 ,12.51 ,78.75 ,27.18 ,669.63 ,5.26 ,0.09 ,0.08 ,1.51 
2023/5/1,19.31 ,31.00 ,12.96 ,77.33 ,32.64 ,666.15 ,5.76 ,0.06 ,0.08 ,1.42 
2023/5/2,17.03 ,30.30 ,12.83 ,63.82 ,32.27 ,664.63 ,5.54 ,0.06 ,0.08 ,1.19 
2023/5/3,15.27 ,30.07 ,12.52 ,74.36 ,38.84 ,669.02 ,5.35 ,0.08 ,0.06 ,1.40 
2023/5/4,14.73 ,30.82 ,12.55 ,109.04 ,41.33 ,669.34 ,5.75 ,0.12 ,0.09 ,1.54 
2023/5/5,14.44 ,31.70 ,12.43 ,136.29 ,36.30 ,666.29 ,5.86 ,0.14 ,0.11 ,1.51 
2023/5/6,14.15 ,31.11 ,12.37 ,76.20 ,32.85 ,667.16 ,5.17 ,0.09 ,0.09 ,1.37 
2023/5/7,15.27 ,30.94 ,12.55 ,50.40 ,25.54 ,664.85 ,5.05 ,0.06 ,0.08 ,1.42 
2023/5/8,16.18 ,30.87 ,12.64 ,45.63 ,19.43 ,683.95 ,5.22 ,0.05 ,0.06 ,1.56 
2023/5/9,16.52 ,30.67 ,12.72 ,49.17 ,18.86 ,689.18 ,5.38 ,0.05 ,0.06 ,1.68 
2023/5/10,16.70 ,30.76 ,12.95 ,47.40 ,18.68 ,662.03 ,5.09 ,0.05 ,0.06 ,1.37 
2023/5/11,16.35 ,30.91 ,12.92 ,42.88 ,19.38 ,662.90 ,4.68 ,0.05 ,0.05 ,1.39 
2023/5/12,16.04 ,31.63 ,12.93 ,43.94 ,18.13 ,666.56 ,5.05 ,0.05 ,0.05 ,1.31 
2023/5/13,15.75 ,33.15 ,12.90 ,48.17 ,18.50 ,668.68 ,4.83 ,0.05 ,0.06 ,1.20 
2023/5/14,14.91 ,34.83 ,12.75 ,58.59 ,16.87 ,667.13 ,4.88 ,0.05 ,0.06 ,1.04 
2023/5/15,14.38 ,35.87 ,12.70 ,74.88 ,19.00 ,667.72 ,5.03 ,0.05 ,0.06 ,1.16 
2023/5/16,13.42 ,36.68 ,12.47 ,79.01 ,14.43 ,674.07 ,4.86 ,0.06 ,0.06 ,1.14 
2023/5/17,12.93 ,36.23 ,12.46 ,75.69 ,15.28 ,673.58 ,5.49 ,0.08 ,0.09 ,1.27 
2023/5/18,12.96 ,36.51 ,12.32 ,62.60 ,12.70 ,680.76 ,4.90 ,0.08 ,0.08 ,0.93 
2023/5/19,13.13 ,37.06 ,12.31 ,58.70 ,11.94 ,684.56 ,4.77 ,0.06 ,0.06 ,1.04 
2023/5/20,13.27 ,36.80 ,12.35 ,64.61 ,16.33 ,679.42 ,5.15 ,0.08 ,0.08 ,1.17 
2023/5/21,13.33 ,36.58 ,12.38 ,56.90 ,20.37 ,678.20 ,4.82 ,0.05 ,0.08 ,1.17 
2023/5/22,13.05 ,34.94 ,12.31 ,73.79 ,23.13 ,669.72 ,4.91 ,0.09 ,0.08 ,1.04 
2023/5/23,13.40 ,34.30 ,12.26 ,75.59 ,20.21 ,668.74 ,5.66 ,0.09 ,0.08 ,1.11 
2023/5/24,13.88 ,33.06 ,12.18 ,90.89 ,23.41 ,668.12 ,4.83 ,0.12 ,0.08 ,1.36 
2023/5/25,15.60 ,35.04 ,12.47 ,74.57 ,26.14 ,665.43 ,4.96 ,0.09 ,0.08 ,1.16 
2023/5/26,14.55 ,34.69 ,12.35 ,71.58 ,24.19 ,665.68 ,4.85 ,0.06 ,0.08 ,1.19 
2023/5/27,13.69 ,35.11 ,12.26 ,71.90 ,22.34 ,670.51 ,4.83 ,0.08 ,0.08 ,1.24 
2023/5/28,14.20 ,36.80 ,12.32 ,61.49 ,18.19 ,671.08 ,4.58 ,0.08 ,0.08 ,1.16 
2023/5/29,14.73 ,38.69 ,12.52 ,49.17 ,55.21 ,667.92 ,4.82 ,0.05 ,0.06 ,1.11 
2023/5/30,13.91 ,38.96 ,12.44 ,56.61 ,18.22 ,669.76 ,4.85 ,0.06 ,0.06 ,1.08 
2023/5/31,14.23 ,38.35 ,12.54 ,49.03 ,15.39 ,668.67 ,4.88 ,0.06 ,0.06 ,1.14 
2023/6/1,15.05 ,40.02 ,12.66 ,37.84 ,16.13 ,666.81 ,4.76 ,0.05 ,0.06 ,1.08 
2023/6/2,16.15 ,41.08 ,12.84 ,33.73 ,15.48 ,665.30 ,4.85 ,0.05 ,0.05 ,1.11 
2023/6/3,14.61 ,40.55 ,12.76 ,45.78 ,12.35 ,664.27 ,5.25 ,0.06 ,0.05 ,1.05 
2023/6/4,13.42 ,39.39 ,12.61 ,46.56 ,10.20 ,668.67 ,4.79 ,0.05 ,0.05 ,0.99 
2023/6/5,13.04 ,36.86 ,12.47 ,44.96 ,10.16 ,671.20 ,4.82 ,0.05 ,0.06 ,1.11 
2023/6/6,13.74 ,37.41 ,12.52 ,40.98 ,8.65 ,672.48 ,4.86 ,0.05 ,0.06 ,1.10 
2023/6/7,14.90 ,38.05 ,12.66 ,41.82 ,10.23 ,671.31 ,5.28 ,0.05 ,0.06 ,1.11 
2023/6/8,15.57 ,39.48 ,12.78 ,45.61 ,23.18 ,671.90 ,5.37 ,0.05 ,0.06 ,1.04 
2023/6/9,15.51 ,41.30 ,12.87 ,48.40 ,67.45 ,668.07 ,5.09 ,0.05 ,0.06 ,1.01 
2023/6/10,14.38 ,42.94 ,12.79 ,75.44 ,36.40 ,676.17 ,5.41 ,0.06 ,0.08 ,1.11 
2023/6/11,13.39 ,43.14 ,12.72 ,60.47 ,19.03 ,680.39 ,5.15 ,0.06 ,0.08 ,1.02 
2023/6/12,13.07 ,42.65 ,12.66 ,44.68 ,10.32 ,683.63 ,5.06 ,0.05 ,0.06 ,0.88 
2023/6/13,12.75 ,42.12 ,12.66 ,43.49 ,11.48 ,687.03 ,5.63 ,0.05 ,0.06 ,0.90 
2023/6/14,12.89 ,42.61 ,12.58 ,47.81 ,10.51 ,684.57 ,5.81 ,0.05 ,0.06 ,0.92 
2023/6/15,13.22 ,43.34 ,12.55 ,51.94 ,11.53 ,679.71 ,7.03 ,0.06 ,0.08 ,0.81 
2023/6/16,12.73 ,42.97 ,12.54 ,59.70 ,7.11 ,671.14 ,7.08 ,0.06 ,0.08 ,0.92 
2023/6/17,11.59 ,40.99 ,12.25 ,69.63 ,8.25 ,663.95 ,8.07 ,0.14 ,0.09 ,0.98 
2023/6/18,11.47 ,39.70 ,12.06 ,86.76 ,8.02 ,645.81 ,5.49 ,0.20 ,0.09 ,1.31 
2023/6/19,11.29 ,39.88 ,11.96 ,84.45 ,7.29 ,637.39 ,5.38 ,0.23 ,0.11 ,1.45 
2023/6/20,12.32 ,41.56 ,12.09 ,67.62 ,9.03 ,649.10 ,4.93 ,0.20 ,0.11 ,0.85 
2023/6/21,13.83 ,43.75 ,12.40 ,34.80 ,15.45 ,650.29 ,4.56 ,0.11 ,0.08 ,0.59 
2023/6/22,14.88 ,43.84 ,12.58 ,30.88 ,16.58 ,648.23 ,4.64 ,0.06 ,0.06 ,0.82 
2023/6/23,13.97 ,42.11 ,12.51 ,47.64 ,22.78 ,648.75 ,4.85 ,0.05 ,0.06 ,0.85 
2023/6/24,12.51 ,39.97 ,12.29 ,71.77 ,12.78 ,664.76 ,5.08 ,0.09 ,0.09 ,1.01 
2023/6/25,12.57 ,39.48 ,12.29 ,73.00 ,12.72 ,662.26 ,4.86 ,0.11 ,0.09 ,0.99 
2023/6/26,13.24 ,40.53 ,12.31 ,105.99 ,13.73 ,665.85 ,5.29 ,0.11 ,0.11 ,1.04 
2023/6/27,13.94 ,42.35 ,12.46 ,71.86 ,11.67 ,668.44 ,4.96 ,0.08 ,0.08 ,1.14 
2023/6/28,13.08 ,43.54 ,12.38 ,88.91 ,16.41 ,662.63 ,5.20 ,0.09 ,0.08 ,1.11 
2023/6/29,12.41 ,43.94 ,12.41 ,145.94 ,27.13 ,646.33 ,6.74 ,0.11 ,0.11 ,1.22 
2023/6/30,12.34 ,43.13 ,12.35 ,128.94 ,27.18 ,635.93 ,7.02 ,0.12 ,0.12 ,1.25 
2023/7/1,14.44 ,44.33 ,12.81 ,71.42 ,26.43 ,635.16 ,6.12 ,0.08 ,0.09 ,1.10 
2023/7/2,14.17 ,44.88 ,12.75 ,56.90 ,22.16 ,646.54 ,5.84 ,0.05 ,0.08 ,0.81 
2023/7/3,12.22 ,44.38 ,12.46 ,79.25 ,23.81 ,649.09 ,5.44 ,0.06 ,0.09 ,0.99 
2023/7/4,11.73 ,44.53 ,12.37 ,135.42 ,23.91 ,644.85 ,5.69 ,0.11 ,0.11 ,0.95 
2023/7/5,12.70 ,45.05 ,12.52 ,96.94 ,8.01 ,633.26 ,5.73 ,0.11 ,0.11 ,0.92 
2023/7/6,12.08 ,45.69 ,12.51 ,116.78 ,4.44 ,636.43 ,6.07 ,0.09 ,0.11 ,0.96 
2023/7/7,11.25 ,45.31 ,12.22 ,171.30 ,2.75 ,632.98 ,6.60 ,0.15 ,0.14 ,0.99 
2023/7/8,11.15 ,44.59 ,11.99 ,239.71 ,1.65 ,635.12 ,6.77 ,0.21 ,0.17 ,1.02 
2023/7/9,11.06 ,44.76 ,11.85 ,275.49 ,1.49 ,647.21 ,7.14 ,0.34 ,0.18 ,1.05 
2023/7/10,11.71 ,45.29 ,12.05 ,208.67 ,1.62 ,639.97 ,6.41 ,0.26 ,0.17 ,0.99 
2023/7/11,12.17 ,46.60 ,12.23 ,134.32 ,0.85 ,638.14 ,5.78 ,0.15 ,0.12 ,1.04 
2023/7/12,12.02 ,47.08 ,12.18 ,126.21 ,0.63 ,644.59 ,5.40 ,0.15 ,0.12 ,0.69 
2023/7/13,11.44 ,46.60 ,12.11 ,171.61 ,0.50 ,649.13 ,5.64 ,0.17 ,0.14 ,0.61 
2023/7/14,11.97 ,46.45 ,12.25 ,168.01 ,0.67 ,655.31 ,6.08 ,0.20 ,0.15 ,0.67 
2023/7/15,12.55 ,46.25 ,12.38 ,145.32 ,15.43 ,680.26 ,6.68 ,0.15 ,0.14 ,0.81 
2023/7/16,12.96 ,45.37 ,12.58 ,139.19 ,14.37 ,673.44 ,6.60 ,0.14 ,0.14 ,0.70 
2023/7/17,11.41 ,43.68 ,12.34 ,161.33 ,10.57 ,677.82 ,6.41 ,0.14 ,0.14 ,0.69 
2023/7/18,8.95 ,43.49 ,11.59 ,88.30 ,11.67 ,741.42 ,8.51 ,0.66 ,0.14 ,1.63 
2023/7/19,11.10 ,42.88 ,11.67 ,89.81 ,13.54 ,625.98 ,8.80 ,0.67 ,0.14 ,1.72 
2023/7/20,13.83 ,44.41 ,12.14 ,99.08 ,16.94 ,619.26 ,8.45 ,0.63 ,0.12 ,1.77 
2023/7/21,14.06 ,45.12 ,12.17 ,93.68 ,21.06 ,607.91 ,9.71 ,0.49 ,0.11 ,1.83 
2023/7/22,12.08 ,44.06 ,12.00 ,129.78 ,13.92 ,614.13 ,8.71 ,0.47 ,0.12 ,1.57 
2023/7/23,12.35 ,44.32 ,12.43 ,117.41 ,89.29 ,640.67 ,6.53 ,0.15 ,0.12 ,0.79 
2023/7/24,13.98 ,45.46 ,12.63 ,117.76 ,19.28 ,619.04 ,6.86 ,0.14 ,0.12 ,0.67 
2023/7/25,14.46 ,46.04 ,12.70 ,115.35 ,17.42 ,596.66 ,9.26 ,0.15 ,0.12 ,1.83 
2023/7/26,12.58 ,45.40 ,12.55 ,81.95 ,12.84 ,615.35 ,6.37 ,0.12 ,0.11 ,0.66 
2023/7/27,12.28 ,45.52 ,12.57 ,72.51 ,11.10 ,630.02 ,5.93 ,0.12 ,0.09 ,0.55 
2023/7/28,12.37 ,44.84 ,12.66 ,102.05 ,13.76 ,612.27 ,6.92 ,0.12 ,0.11 ,0.66 
2023/7/29,11.70 ,43.86 ,12.32 ,133.25 ,13.95 ,607.35 ,6.89 ,0.17 ,0.12 ,0.72 
2023/7/30,11.51 ,43.36 ,12.08 ,80.81 ,21.08 ,585.62 ,7.21 ,0.15 ,0.11 ,1.02 
2023/7/31,14.18 ,44.41 ,12.61 ,99.69 ,16.99 ,601.89 ,7.29 ,0.14 ,0.11 ,0.79 
2023/8/1,12.73 ,44.41 ,12.47 ,83.36 ,17.40 ,594.16 ,7.67 ,0.11 ,0.11 ,0.90 
2023/8/2,13.16 ,45.31 ,12.51 ,109.04 ,20.37 ,598.24 ,6.82 ,0.14 ,0.09 ,0.82 
2023/8/3,15.65 ,47.00 ,12.84 ,70.94 ,21.23 ,602.82 ,7.09 ,0.12 ,0.09 ,0.75 
2023/8/4,16.23 ,47.93 ,12.99 ,91.47 ,23.85 ,602.88 ,7.11 ,0.11 ,0.08 ,0.40 
2023/8/5,15.91 ,48.94 ,13.04 ,50.11 ,18.24 ,605.61 ,7.29 ,0.09 ,0.08 ,0.61 
2023/8/6,13.62 ,48.75 ,13.02 ,49.75 ,16.36 ,612.65 ,5.34 ,0.05 ,0.08 ,0.41 
2023/8/7,12.29 ,48.05 ,12.76 ,59.32 ,24.29 ,613.28 ,5.35 ,0.06 ,0.08 ,1.07 
2023/8/8,12.06 ,47.72 ,12.75 ,89.69 ,22.25 ,617.91 ,5.38 ,0.06 ,0.09 ,1.27 
2023/8/9,12.52 ,47.53 ,12.83 ,52.61 ,22.81 ,623.01 ,5.19 ,0.05 ,0.09 ,0.96 
2023/8/10,12.76 ,47.98 ,12.87 ,52.06 ,22.95 ,627.00 ,5.20 ,0.05 ,0.09 ,0.98 
2023/8/11,13.28 ,49.36 ,12.98 ,41.19 ,18.15 ,627.26 ,5.26 ,0.05 ,0.08 ,0.72 
